Day,S,E,I,R
0,66.000,0.000,35.000,0.000
1,65.705,0.295,35.000,0.000
2,65.347,0.653,35.000,0.000
3,64.152,1.553,35.295,0.000
4,63.769,1.578,35.653,0.000
5,63.579,0.573,36.848,0.000
6,63.574,0.195,2.231,35.000
7,63.552,0.027,2.421,35.000
8,63.517,0.057,2.131,35.295
9,63.517,0.035,1.795,35.653
10,63.517,0.000,0.635,36.848
11,63.517,0.000,0.252,37.231
12,63.517,0.000,0.062,37.421
13,63.517,0.000,0.057,37.426
14,63.517,0.000,0.035,37.448
15,63.517,0.000,0.000,37.483
16,63.517,0.000,0.000,37.483
17,63.517,0.000,0.000,37.483
18,63.517,0.000,0.000,37.483
19,63.517,0.000,0.000,37.483
20,63.517,0.000,0.000,37.483
21,63.517,0.000,0.000,37.483
22,63.517,0.000,0.000,37.483
23,63.517,0.000,0.000,37.483
24,63.517,0.000,0.000,37.483
25,63.517,0.000,0.000,37.483
26,63.517,0.000,0.000,37.483
27,63.517,0.000,0.000,37.483
28,63.517,0.000,0.000,37.483
29,63.517,0.000,0.000,37.483
30,63.517,0.000,0.000,37.483
